source_patch_id,destination_patch_id,edge_type,distance_km
19,20,sedimental,1.4682606796450288
25,26,sedimental,1.4451493973538996
40,42,sedimental,1.8994098177383
40,46,sedimental,1.8681090114609813
41,44,sedimental,1.831465159179464
46,47,sedimental,1.7043753330839693
61,62,sedimental,1.0826003211042463
4,5,tidal,3.996033743440645
8,9,tidal,2.7371041133030607
8,14,tidal,4.605609571328028
8,17,tidal,2.138359554726257
9,13,tidal,3.573193869465933
9,14,tidal,3.575528845021776
9,17,tidal,3.297642189378802
10,13,tidal,3.2613859685696696
10,18,tidal,4.5260710454923485
13,14,tidal,3.634972486981673
14,17,tidal,3.053704397502875
18,19,tidal,4.791726602062515
18,20,tidal,4.12144214040339
19,24,tidal,4.373248811462945
19,25,tidal,3.2798561576652125
19,26,tidal,4.7070288392795785
20,24,tidal,3.1687333413344514
20,25,tidal,3.20185256622081
20,26,tidal,4.441950554882999
24,25,tidal,3.100027473948954
24,26,tidal,3.248431407171179
24,27,tidal,3.1671223436721507
25,27,tidal,3.837291885851013
26,27,tidal,2.677788789306473
29,31,tidal,3.905034217477404
29,34,tidal,4.640562304693857
30,32,tidal,3.2364531791626296
30,35,tidal,4.301332644229587
31,34,tidal,2.804065102624719
32,35,tidal,2.039464236325317
32,36,tidal,4.219322930135982
33,35,tidal,4.389418517440586
33,40,tidal,4.283501583697446
34,37,tidal,4.971109696672782
35,36,tidal,2.5499657181452697
35,37,tidal,4.591231668418133
36,37,tidal,2.166970762459896
36,39,tidal,4.155116343322724
36,41,tidal,4.608452653955338
37,39,tidal,2.4258141560117426
37,41,tidal,4.467596241291947
39,41,tidal,3.436487043806808
39,44,tidal,4.898669329739566
39,45,tidal,3.8798467288657688
40,47,tidal,3.571790778122921
41,42,tidal,4.055927632239011
41,45,tidal,3.444287450563833
41,48,tidal,4.517735938301338
42,44,tidal,3.73687019700576
42,46,tidal,2.775043020043136
42,47,tidal,4.15502685349664
42,48,tidal,4.06676647658865
43,46,tidal,4.370065921383968
43,47,tidal,4.40041143694592
43,49,tidal,4.950088127895983
44,45,tidal,3.1732870829041007
44,48,tidal,2.737637264856488
45,48,tidal,4.998069826192825
50,52,tidal,4.530211234084706
50,53,tidal,3.710339420113861
50,54,tidal,4.990171180885612
51,52,tidal,2.362935072395459
51,53,tidal,4.61656441205104
52,53,tidal,2.257477543829296
54,55,tidal,3.75629987009832
56,57,tidal,2.036267074552748
58,59,tidal,4.128129594264315
58,60,tidal,4.089846995422459
59,60,tidal,4.499171937676466
64,66,tidal,4.776237549783685
65,66,tidal,4.100692472986244
68,69,tidal,3.0830120340547693
